SecurityID,DateTime,PreClosePx,OpenPx,HighPx,LowPx,LastPx,Volume,Amount,IOPV,fp_Volume,fp_Amount,UpRate,Mean5,Mean10,Mean20,Mean30
600854,2014-01-02,4.24,4.23,4.29,4.18,4.24,3951324,16759758.0,0.0,,,0.0,,,,
600854,2014-01-03,4.24,4.22,4.24,4.14,4.2,3942339,16474850.0,0.0,,,-0.009433962264150952,,,,
600854,2014-01-06,4.2,4.18,4.19,4.02,4.03,2941017,11989987.0,0.0,,,-0.040476190476190464,,,,
600854,2014-01-07,4.03,4.01,4.09,4.0,4.08,2447442,9891681.0,0.0,,,0.012406947890818814,,,,
600854,2014-01-08,4.08,4.07,4.11,4.03,4.04,2173986,8831232.0,0.0,,,-0.00980392156862746,4.118,,,
600854,2014-01-09,4.04,4.05,4.16,4.04,4.06,3820075,15624951.0,0.0,,,0.004950495049504846,4.082000000000001,,,
600854,2014-01-10,4.06,4.05,4.07,3.99,4.02,3231150,13017879.0,0.0,,,-0.009852216748768485,4.046000000000001,,,
600854,2014-01-13,4.02,4.0,4.05,3.95,3.97,2266158,9038864.0,0.0,,,-0.012437810945273478,4.034000000000001,,,
600854,2014-01-14,3.97,3.96,4.08,3.95,4.07,2572574,10378917.0,0.0,,,0.025188916876574333,4.032000000000001,,,
600854,2014-01-15,4.07,4.08,4.15,4.04,4.12,3483612,14315096.0,0.0,,,0.012285012285012241,4.048000000000001,4.083,,
600854,2014-01-16,4.12,4.14,4.14,4.07,4.09,2478415,10160335.0,0.0,,,-0.0072815533980583125,4.054000000000001,4.068,,
600854,2014-01-17,4.09,4.08,4.08,4.0,4.0,2565399,10330097.0,0.0,,,-0.022004889975550092,4.050000000000002,4.048,,
600854,2014-01-20,4.0,3.98,4.04,3.97,4.03,1703416,6836374.0,0.0,,,0.007500000000000062,4.062000000000002,4.048,,
600854,2014-01-21,4.03,4.01,4.12,4.01,4.1,2031002,8294913.0,0.0,,,0.01736972704714625,4.068000000000002,4.05,,
600854,2014-01-22,4.1,4.11,4.19,4.08,4.19,3393536,14078200.0,0.0,,,0.021951219512195305,4.0820000000000025,4.0649999999999995,,
600854,2014-01-23,4.19,4.17,4.19,4.14,4.17,3092003,12859356.0,0.0,,,-0.00477326968973758,4.0980000000000025,4.076,,
600854,2014-01-24,4.17,4.15,4.22,4.14,4.21,3183102,13355430.0,0.0,,,0.009592326139088735,4.140000000000002,4.095000000000001,,
600854,2014-01-27,4.21,4.19,4.32,4.18,4.22,6330643,26921943.0,0.0,,,0.002375296912113964,4.178000000000003,4.12,,
600854,2014-01-28,4.22,4.22,4.25,4.15,4.2,3183332,13379579.0,0.0,,,-0.004739336492890894,4.198000000000002,4.133000000000001,,
600854,2014-01-29,4.2,4.21,4.24,4.19,4.22,2447685,10327686.0,0.0,,,0.00476190476190466,4.2040000000000015,4.143000000000001,4.1129999999999995,
600854,2014-01-30,4.22,4.21,4.24,4.12,4.18,2584934,10761689.0,0.0,,,-0.009478672985782,4.206000000000001,4.152000000000001,4.11,
600854,2014-02-07,4.18,4.15,4.28,4.14,4.27,4375032,18468440.0,0.0,,,0.021531100478468863,4.218000000000002,4.179,4.1135,
600854,2014-02-10,4.27,4.25,4.65,4.25,4.47,10818520,48409320.0,0.0,,,0.04683840749414525,4.268000000000002,4.223000000000001,4.1354999999999995,
600854,2014-02-11,4.47,4.44,4.48,4.38,4.44,6102174,27038068.0,0.0,,,-0.006711409395973012,4.316000000000002,4.257,4.153499999999999,
600854,2014-02-12,4.44,4.44,4.55,4.42,4.49,5807607,26102797.0,0.0,,,0.01126126126126122,4.370000000000002,4.287000000000001,4.175999999999999,
600854,2014-02-13,4.49,4.47,4.62,4.42,4.43,7037576,31844751.0,0.0,,,-0.013363028953229508,4.420000000000002,4.313000000000001,4.1945,
600854,2014-02-14,4.43,4.43,4.52,4.41,4.48,5552796,24794870.0,0.0,,,0.01128668171557578,4.4620000000000015,4.34,4.217499999999999,
600854,2014-02-17,4.48,4.5,4.62,4.49,4.57,6312961,28834358.0,0.0,,,0.02008928571428568,4.482000000000002,4.375,4.2475,
600854,2014-02-18,4.57,4.56,4.59,4.48,4.53,7899374,35730519.0,0.0,,,-0.008752735229759306,4.500000000000002,4.4079999999999995,4.2705,
600854,2014-02-19,4.53,4.53,4.74,4.52,4.66,13199778,61421475.0,0.0,,,0.028697571743929336,4.534000000000002,4.452,4.297499999999999,4.226
600854,2014-02-20,4.66,4.63,4.66,4.53,4.54,8710722,40096521.0,0.0,,,-0.025751072961373408,4.556000000000002,4.4879999999999995,4.319999999999999,4.236
