SecurityID,DateTime,PreClosePx,OpenPx,HighPx,LowPx,LastPx,Volume,Amount,IOPV,fp_Volume,fp_Amount,UpRate,Mean5,Mean10,Mean20,Mean30,EMA12,EMA26,DIF,DEA,MACD,K,D,J
600455,2014-01-02,14.23,14.23,14.43,14.12,14.39,793043,11358900.0,0.0,,,0.011243851018974007,,,,,14.39,14.39,0.0,0.0,0.0,,,
600455,2014-01-03,14.39,14.33,14.4,14.08,14.12,745875,10579546.0,0.0,,,-0.018763029881862497,,,,,14.2325,14.2505,-0.018000000000000682,-0.010500000000000398,-0.015000000000000568,,,
600455,2014-01-06,14.12,14.1,14.1,13.38,13.4,1066977,14503742.0,0.0,,,-0.05099150141643052,,,,,13.858256880733945,13.94789707515735,-0.08964019442340465,-0.04607678464905369,-0.08712681954870193,,,
600455,2014-01-07,13.4,13.42,13.48,13.18,13.28,1121772,14906773.0,0.0,,,-0.008955223880597088,,,,,13.634898648648646,13.763867092119868,-0.12896844347122283,-0.07809462133374288,-0.10174764427495989,,,
600455,2014-01-08,13.28,13.3,13.43,13.21,13.33,804584,10703662.0,0.0,,,0.003765060240963909,13.704,,,,13.527887735711152,13.66515182430357,-0.137264088592417,-0.0988614523362391,-0.07680527251235583,,,
600455,2014-01-09,13.33,13.3,13.4,13.02,13.09,850998,11296955.0,0.0,,,-0.018004501125281337,13.444,,,,13.383616207951068,13.552632429931412,-0.16901622198034438,-0.12197544930574582,-0.09408154534919713,,,
600455,2014-01-10,13.09,13.1,13.1,12.51,12.63,1013951,12913444.0,0.0,,,-0.03514132925897625,13.145999999999995,,,,13.14573036873271,13.393057140457579,-0.24732677172486817,-0.1615437391277982,-0.17156606519413992,,,
600455,2014-01-13,12.63,12.74,12.89,12.64,12.75,525120,6697045.0,0.0,,,0.009501187648455995,13.015999999999995,,,,13.024446296511316,13.292717128283448,-0.2682708317721314,-0.1942536280698768,-0.14803440740450918,,,
600455,2014-01-14,12.75,12.7,13.39,12.7,13.32,1012635,13375996.0,0.0,,,0.0447058823529412,13.023999999999996,,,,13.113185197519135,13.296617293915848,-0.18343209639671265,-0.1910045034046714,0.015144814015917496,42.18750000000003,42.18750000000003,42.18750000000003
600455,2014-01-15,13.32,13.3,13.5,13.21,13.42,841995,11271577.0,0.0,,,0.00750750750750748,13.041999999999994,13.373,,,13.203985689115248,13.312972370189351,-0.10898668107410359,-0.16673168955396875,0.11549001695973032,45.76388888888889,44.33333333333335,48.624999999999986
600455,2014-01-16,13.42,13.35,13.57,13.33,13.36,562449,7557922.0,0.0,,,-0.004470938897168443,13.095999999999995,13.27,,,13.249689824864578,13.318809025487031,-0.06911920062245258,-0.13813627148202304,0.1380341417191409,49.40899812424141,46.73759560271085,54.751803167302526
600455,2014-03-03,13.36,14.7,14.7,13.71,14.15,6205528,88536594.0,0.0,,,0.05913173652694618,13.399999999999995,13.273,,,13.511539967663287,13.416167070903997,0.09537289675929017,-0.07022144530603508,0.3311886841306505,59.991688260620805,52.24314178368883,75.48878121448476
600455,2014-03-04,14.15,14.0,15.51,13.91,14.99,5351245,79577336.0,0.0,,,0.059363957597173125,13.847999999999995,13.432,,,13.939347054548424,13.591296949106903,0.34805010544152104,0.05080958004364934,0.5944810507957434,68.69630082407917,58.55928340582919,88.97033566057914
600455,2014-03-05,14.99,14.76,16.34,14.7,15.78,6424699,99854630.0,0.0,,,0.052701801200800466,14.339999999999998,13.682,,,14.470023600025279,13.823967481866056,0.6460561181592226,0.22242442864115752,0.8472633790361301,74.79223509292535,64.49102364637712,95.39465798602183
600455,2014-03-06,15.78,15.76,15.95,15.28,15.53,3614129,56190119.0,0.0,,,-0.015842839036755388,14.761999999999995,13.901999999999996,,,14.774833333209681,13.998052759908445,0.7767805733012363,0.3818366085227121,0.7898879295570483,76.22932452695768,68.64703206888477,91.39390944310352
600455,2014-03-07,15.53,15.58,15.68,15.0,15.16,2652084,40532820.0,0.0,,,-0.023824855119124227,15.121999999999995,14.108999999999998,,,14.885388562937026,14.11233075955452,0.7730578033825051,0.49412968266735746,0.5578562414302952,73.41233795946775,70.2999621216532,79.63708963509686
600455,2014-03-10,15.16,15.05,15.2,14.36,14.42,2565455,37807714.0,0.0,,,-0.04881266490765173,15.175999999999995,14.287999999999995,,,14.75198288229323,14.141599859466071,0.6103830228271594,0.5274542144806406,0.16585761669303767,64.45959294737693,68.3011794732558,56.7764198956192
600455,2014-03-11,14.42,14.32,14.55,14.12,14.22,2194548,31397857.0,0.0,,,-0.013869625520110907,15.021999999999995,14.434999999999995,,,14.599630875541102,14.148836640404502,0.4507942351366001,0.5054999334701407,-0.1094113966670811,53.539819930141725,63.2938922714098,34.03167524760556
600455,2014-03-12,14.22,14.28,14.45,13.93,14.36,2053219,29202061.0,0.0,,,0.009845288326300898,14.737999999999996,14.538999999999998,,,14.531050156698546,14.167801207603457,0.3632489490950892,0.46478867394453316,-0.20307944969888791,47.02431038529863,57.80726732898878,25.458396497918315
600455,2014-03-13,14.36,14.36,14.48,14.18,14.31,1632580,23396750.0,0.0,,,-0.003481894150417753,14.493999999999994,14.628,14.0005,,14.467817393497697,14.180257016837535,0.28756037666016177,0.414091424406025,-0.2530620954917264,38.89141998912728,51.45301042181332,13.768239123755194
600455,2014-03-14,14.31,14.26,14.69,14.2,14.6,2071067,30037310.0,0.0,,,0.020265548567435298,14.381999999999994,14.752,14.011,,14.50561612171617,14.216194747523266,0.28942137419290326,0.3784409748523087,-0.1780392013188109,35.374563480779734,46.06584762076484,13.991995200809527
600455,2014-03-17,14.6,14.53,14.85,14.53,14.84,1555722,22942056.0,0.0,,,0.016438356164383574,14.465999999999998,14.820999999999998,14.047,,14.601212666863214,14.268500202242155,0.33271246462105886,0.36536771421766107,-0.06531049919320442,36.17222004956674,42.75663610136568,23.003387945968868
600455,2014-03-18,14.84,14.84,15.11,14.65,14.68,2145437,31881258.0,0.0,,,-0.010781671159029659,14.557999999999998,14.789999999999996,14.111,,14.623733142654562,14.302349646747526,0.3213834959070354,0.3527953185770312,-0.06282364533999163,36.491780757590824,40.66357114168909,28.1481999893943
600455,2014-03-19,14.68,14.64,15.17,14.64,15.14,2664501,39961920.0,0.0,,,0.03133514986376028,14.714,14.725999999999996,14.204000000000002,,14.771283864936564,14.370052465197304,0.4012313997392596,0.36663850579370444,0.0691857878911103,47.392067906539445,42.90982317798448,56.35655736364939
600455,2014-03-20,15.14,15.02,15.36,14.5,14.54,1941808,29235477.0,0.0,,,-0.039630118890356766,14.759999999999994,14.626999999999995,14.264500000000005,,14.705188072322,14.383568000894764,0.3216200714272368,0.3537732369495745,-0.06430633104467542,45.81222267831572,43.87827261478656,49.68012280537404
